"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Selecione aqui para permitir que a DHL otimize as cobranças de entrega dividindo o pedido se houver excesso em %1 e %2."
"Wrong Content Type","Tipo de conteúdo errado"
"Pounds","Libras"
"Kilograms","Quilogramas"
"Inches","Polegadas"
"Centimeters","Centímetros"
"inch","polegada"
"cm","cm"
"Height","Altura"
"Depth","Profundidade"
"Width","Largura"
"Regular","Regular"
"Specific","Específicas"
"Easy shop","Compra Fácil"
"Sprintline","Sprintline"
"Secureline","Secureline"
"Express easy","Expresso fácil"
"Europack","Europack"
"Break bulk express","tradução"
"Medical express","todos"
"Express worldwide","Expresso em todo o mundo"
"Express 9:00","Expresso 9:00"
"Express 10:30","Expresso 10:30"
"Domestic economy select","Todos
"
"Economy select","Selecione a economia"
"Break bulk economy","Break bulk economy"
"Domestic express","Domestic express"
"Others","Outros"
"Globalmail business","Globalmail business"
"Same day","Mesmo dia"
"Express 12:00","Express 12:00"
"Express envelope","Express envelope"
"Customer services","Atendimento ao cliente"
"Jetline","Jetline"
"Freight worldwide","Frete para o mundo todo"
"Jumbo box","Jumbo box"
"DHL service is not available at %s date","O serviço DHL não está disponível na data %s"
"The response is in wrong format.","A resposta está no formato errado."
"Error #%1 : %2","Erro #%1: %2"
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","Tivemos que pular o método DHL %1 porque não foi possível encontrar a taxa de câmbio %2 (Moeda Base)."
"Zero shipping charge for '%1'","Taxa de envio zero para '%1'"
"DHL","DHL"
"Cannot identify measure unit for %1","Não é possível identificar unidade de medida para %1"
"Cannot identify weight unit for %1","Não foi possível identificar a unidade de peso para %1"
"There is no items in this order","Não há nenhum item neste pedido"
"Please, specify origin country","Por favor, especifique o país de origem"
"Documents","Documentos"
"Non Documents","Nenhuma Documentação"
"Height, width and length should be equal or greater than %1","Altura, largura e o comprimento devem ser iguais ou maior que %1"
"Wrong Region","Região errada"
"Unable to retrieve tracking","Não é possível recuperar o rastreamento"
"Response is in the wrong format","Resposta está no formato incorreto"
"No packages for request","Não há pacotes para solicitação"
"Unable to retrieve shipping label","Não é possível recuperar a etiqueta de envio"
"Non documents","Nenhuma documentação"
"None","Nenhum"
"Enabled for Checkout","Enabled for Checkout"
"Gateway URL","Gateway URL"
"Title","Título"
"Access ID","Access ID"
"Password","Senha"
"Account Number","Account Number"
"Content Type","Content Type"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Applied","Handling Applied"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package."
"Handling Fee","Handling Fee"
"Divide Order Weight","Divide Order Weight"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg."
"Weight Unit","Weight Unit"
"Size","Tamanho"
"Allowed Methods","Allowed Methods"
"Displayed Error Message","Displayed Error Message"
"Free Method","Free Method"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Ordernação"
"Debug","Depurar/Debug"
