"State/Province","Estado/Província"
"--Please Select--","--Por Favor Selecione--"
"lbs","libras"
"kgs","kgs"
"Requested country is not available.","País solicitado não está disponível."
"Please correct the target currency.","Por favor, corrija a moeda de destino."
"Undefined rate from ""%1-%2"".","Taxa indefinida de ""%1-%2""."
"label","rótulo"
"We can't retrieve a rate from %1.","Não foi possível recuperar a taxa de %1."
"FATAL ERROR:","ERRO FATAL:"
"We can't initialize the import model.","Nós não é possível inicializar o modelo de importação."
"Please specify the correct Import Service.","Por favor, especifique o Serviço de Importação correto."
"WARNING:","ALERTA:"
"Please correct the country code: %1.","Por favor, corrija o código do país: %1."
"Country and Format Type combination should be unique","A combinação de país e tipo de formato, deveria ser unica"
"Please correct the rates received","Por favor, corrija as taxas recebidas"
"Please select a region, state or province.","Por favor, selecione uma região, estado ou província."
"Currency","Moeda"
"Your current currency is: %1.","Sua moeda atual: %1."
"Continue","Próximo"
"Currency Update Warnings","Currency Update Warnings"
"Currency Setup","Currency Setup"
"Currency Options","Currency Options"
"Base Currency","Moeda base"
"
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    "
"Default Display Currency","Default Display Currency"
"Allowed Currencies","Allowed Currencies"
"Webservicex","Webservicex"
"Connection Timeout in Seconds","Connection Timeout in Seconds"
"Scheduled Import Settings","Scheduled Import Settings"
"Enabled","Habilitado"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
"Frequency","Frequência"
"Service","Serviço"
"Start Time","Hora de Início"
"Installed Currencies","Installed Currencies"
"Zip/Postal Code is Optional for","Zip/Postal Code is Optional for"
"State Options","State Options"
"State is Required for","State is Required for"
"Allow to Choose State if It is Optional for Country","Allow to Choose State if It is Optional for Country"
"Weight Unit","Weight Unit"
