"Payment Type","Tipo de Pagamento"
"Transaction Type","Tipo de Transação"
"Transaction ID","ID Transação"
"BeagleScore","BeagleScore"
"CVV Verification","Verificação de CVV"
"Address Verification","Verificação de endereço"
"Email Verification","Verificação de e-mail"
"Mobile Verification","Verificação mobile"
"Phone Verification","Verificação de telefone"
"Card number","Número do cartão"
"Expiration Date","Data de Validade"
"Response Code","Código de resposta"
"Fraud Message","Mensagem de Fraude"
"Approve Message","Aprovar Mensagem"
"Sorry, but something went wrong","Sorry, but something went wrong"
"Wrong response type","Tipo de resposta errada"
"Transaction has been declined, please, try again later.","A transação foi recusada, por favor tente mais tarde."
"Authorize Only","Apenas Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Card Verification Number","Código de Verificação do Cartão"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Issue Number","Número de emissão"
"Start Date","Data de Início"
"eWAY","eWAY"
"Enabled","Habilitado"
"Connection Type","Connection Type"
"Title","Título"
"Sandbox Mode","Sandbox Mode"
"Live API Key","Live API Key"
"Live API Password","Live API Password"
"Live Client-side Encryption Key","Live Client-side Encryption Key"
"Sandbox API Key","Sandbox API Key"
"Sandbox API Password","Sandbox API Password"
"Sandbox Client-side Encryption Key","Sandbox Client-side Encryption Key"
"Payment Action","Payment Action"
"Debug","Depurar/Debug"
"Credit Card Types","Credit Card Types"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Ordernação"
