"Admin Actions Log Archive","Admin Actions Log Archive"
"Back","Voltar"
"Log Entry #%1","Log Entry #%1"
"Log Entry Details","Log Entry Details"
"Source Data","Source Data"
"Value Before Change","Value Before Change"
"Value After Change","Value After Change"
"No changes","Sem alterações"
"The item was deleted","O item foi excluído"
"N/A","Não Disponível"
"All Users","Todos os usuários"
"Admin Actions Log","Admin Actions Log"
"Admin Actions Archive","Admin Actions Archive"
"Report","Relatório"
"label","rótulo"
"actions' 'label","actions' 'label"
"%1 & applied","%1 & applied"
"Tax Rates Import","Importação de taxas de imposto"
"Attributes Updated","Attributes Updated"
"Currency Rates Saved","Currency Rates Saved"
"Cache types: %1 ","Cache types: %1 "
"Tax Rates Export","Tax Rates Export"
"Unknown callback function: %1::%2","Unknown callback function: %1::%2"
"You need more permissions to access this.","Você precisa mais permissões para acessar isso."
"Success","Sucesso"
"Failure","Falha"
"Daily","Diário"
"Weekly","Semanal"
"Monthly","Mensal"
"This user is locked","This user is locked"
"Admin User Data","Dados do usuário admin"
"Aggregated Information","Aggregated Information"
"Admin User ID","Admin User ID"
"Admin User Name","Admin User Name"
"IP-Address","Endereço IP"
"X-Forwarded For","X-Forwarded For"
"Error Message","Mensagem de erro"
"Related Changes","Alterações relacionadas"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Log Archiving Frequency"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
"1","1"
"View","Visualizar"
"Save","Salvar"
"Delete","Excluir"
"Mass Delete","Exclusão em massa"
"Export","Exportar"
"Import","Importar"
"Edit","Editar"
"Mass Update","Atualização em massa"
"Move","Mover"
"New","Novo"
"Forgot Password","Esqueci a senha"
"Global Search","Global Search"
"Apply","Aplicar"
"Reorder","Refazer pedido"
"Print","Imprimir"
"Email","E-mail"
"Run","Executar"
"Rollback","Reversão"
"Reindex Process","Reindex Process"
"Clean","Limpar"
"Flush","Flush"
"Fetch","Busca"
"Update Payment","Update Payment"
"Update State","Update State"
"Login","Entrar"
"Send","Enviar"
"Create","Create"
"Catalog Products","Catálogo de produtos"
"Catalog Categories","Categorias do catálogo"
"URL Rewrites","URL Rewrites"
"Catalog Search","Catalog Search"
"Catalog Ratings","Catalog Ratings"
"Catalog Reviews","Catalog Reviews"
"Catalog Attributes","Catalog Attributes"
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In","Admin Sign In"
"CMS Pages","Páginas CMS"
"CMS Blocks","CMS Blocks"
"Customers","Clientes"
"Customer Groups","Grupos de Cliente"
"Reports","Relatórios"
"System Configuration","System Configuration"
"Catalog Price Rules","Catalog Price Rules"
"Cart Price Rules","Cart Price Rules"
"Admin My Account","Admin My Account"
"Newsletter Queue","Newsletter Queue"
"Newsletter Templates","Modelos de newsletter"
"Newsletter Subscribers","Newsletter Subscribers"
"Sales Orders","Sales Orders"
"Sales Order Status","Sales Order Status"
"Sales Invoices","Sales Invoices"
"Sales Shipments","Sales Shipments"
"Sales Credit Memos","Sales Credit Memos"
"Checkout Terms and Conditions","Termos e Condições da Compra"
"Admin Permission Roles","Admin Permission Roles"
"Admin Permission Users","Admin Permission Users"
"Manage Websites","Gerenciar sites"
"Manage Stores","Gerenciar Lojas"
"Manage Store Views","Manage Store Views"
"Manage Design","Gerenciar Design"
"Manage Currency Rates","Gerenciar taxas de moeda"
"Transactional Emails","E-mails transacionais"
"Custom Variables","Variáveis personalizadas"
"System Backups","Backups do sistema"
"Customer Tax Classes","Customer Tax Classes"
"Catalog Product Tax Classes","Catalog Product Tax Classes"
"Tax Rules","Tax Rules"
"Tax Rates","Taxas de imposto"
"XML Sitemap","XML Sitemap"
"Widget","Widget"
"Cache Management","Gerenciamento de Cache"
"PayPal Settlement Reports","PayPal Settlement Reports"
"Archive File","Archive File"
"Date","Data"
"CSV","CSV"
"Excel XML","Excel, XML"
"Time","Tempo"
"Action Group","Action Group"
"Action","Ação"
"IP Address","IP Address"
"Username","Nome de Usuário"
"Result","Resultado"
"Full Action Name","Full Action Name"
"Details","Detalhes"
"Full Details","Full Details"
