"We cannot retrieve the payment method model object.","Não foi possível recuperar o objeto de modelo do método de pagamento."
"Month","Mês"
"Year","Ano"
"We cannot retrieve the payment info model object.","Não foi possível recuperar o objeto de info do método de pagamento."
"N/A","Não Disponível"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Switch/Solo/Maestro Issue Number","Número de emissão Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data de início Maestro/Switch/Solo"
"We cannot retrieve the transparent payment method model object.","Não foi possível recuperar o objeto de modelo do método de pagamento transparente."
"Command %1 does not exist.","Comando %1 não existe."
"Wrong gateway response format.","O formato da resposta do gateway esta incorreta."
"Validator for field %1 does not exist.","Validador do campo %1 não existe."
"Discount","Desconto"
"Shipping","Frete"
"All Allowed Countries","Todos os países permitido"
"Specific Countries","Países específicos"
"The payment method you requested is not available.","O método de pagamento que você solicitou não está disponível."
"The payment disallows storing objects.","O pagamento não permite armazenar objetos."
"We cannot retrieve the payment method code.","Não foi possível recuperar o código do método de pagamento."
"We cannot retrieve the payment information object instance.","Não foi possível recuperar a instância de objeto de informações de pagamento."
"You can't use the payment type you selected to make payments to the billing country.","Você não pode usar o tipo de pagamento selecionado para fazer pagamentos para o faturamento em seu país."
"The order action is not available.","A ação de pedido não está disponível."
"The authorize action is not available.","A ação de autorização não está disponível."
"The capture action is not available.","A ação de captura não está disponível."
"The refund action is not available.","A ação de reembolso não está disponível."
"The void action is not available.","A ação de anular não está disponível."
"The payment review action is unavailable.","A ação de revisão de pagamento não está disponível."
"The credit card number doesn't match the credit card type.","O número de cartão de crédito não corresponde ao tipo de cartão de crédito."
"Invalid Credit Card Number","Número inválido de cartão de crédito"
"This credit card type is not allowed for this payment method.","O tipo de cartão de crédito não é permitido para esta forma de pagamento."
"Please enter a valid credit card verification number.","Por favor, insira um número de verificação de cartão de crédito válido."
"Please enter a valid credit card expiration date.","Por favor, introduza uma data de expiração do cartão de crédito válida."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","%1 classe não implementa \Magento\Payment\Model\MethodInterface"
"Yes","Sim"
"No","Não"
"Expiration Date","Data de Validade"
"Card Verification Number","Código de Verificação do Cartão"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Issue Number","Número de emissão"
"Start Date","Data de Início"
" is not available. You still can process offline actions."," is not available. You still can process offline actions."
"Please Select","Por Favor Selecione"
"We'll ask for your payment details before you place an order.","Nós vamos solicitar os dados de pagamento antes de efetuar o pedido."
"--Please Select--","--Por Favor Selecione--"
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"What is this?","O que é isto?"
"Credit Card Information","Informações do cartão de crédito"
"Payment Methods","Forma de pagamento"
