"Save & Generate","Salvar e gerar"
"Edit Sitemap","Editar mapa do site"
"New Sitemap","Novo mapa do site"
"Sitemap Information","Informações de mapa do site"
"Sitemap","Mapa do site"
"Filename","Nome do arquivo"
"example: sitemap.xml","exemplo: sitemap. xml"
"Path","Caminho"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Visão de Loja"
"Generate","Gerar"
"XML Sitemap","XML Sitemap"
"Add Sitemap","Add Sitemap"
"Catalog","Catálogo"
"You deleted the sitemap.","You deleted the sitemap."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","This sitemap no longer exists."
"Site Map","Site Map"
"New Site Map","New Site Map"
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","You saved the sitemap."
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"Always","Sempre"
"Hourly","Hourly"
"Daily","Diário"
"Weekly","Semanal"
"Monthly","Mensal"
"Yearly","Yearly"
"Never","Nunca"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","Nenhum"
"Base Only","Base Only"
"All","Todos"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"Categories Options","Categories Options"
"Frequency","Frequência"
"Priority","Prioridade"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Opções de produtos"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","CMS Pages Options"
"Generation Settings","Configurações de geração"
"Enabled","Habilitado"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
"Start Time","Hora de Início"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","Tamanho máximo do arquivo"
"File size in bytes.","Tamanho do arquivo em bytes."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","ID"
"Link for Google","Link para o Google"
"Last Generated","Last Generated"
"Action","Ação"
