"Current store is not active.","A loja atual não está ativa."
"Requested store is inactive","A loja solicitada está inativa"
"Requested store is not found","A loja solicitada não foi encontrada"
"Environment emulation nesting is not allowed.","A emulação de ambiente aninhada não é permitido."
"Only default scope allowed","Apenas é permitido o escopo padrão"
"Invalid scope object","Objeto de escopo inválido"
"Store with the same code","Loja com o mesmo código"
"Website with the same code","Site com o mesmo código"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter."
"Name is required","Nome é obrigatório"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter."
"Store is inactive","A loja está inativa"
"Default store is inactive","A loja padrão está inativa"
"All Store Views","Todas as Visões de Loja"
"-- Please Select --","-- Selecione uma opção --"
"Admin","Admin"
"More than one default website is defined","Mais de um site padrão esta definido"
"Default website is not defined","O site padrão não está definido"
"Your Language:","Seu idioma:"
"Your Language","Seu idioma"
"Language","Idioma"
"Select Store","Selecionar loja"
"Configuration","Configuração"
"Various XML configurations that were collected across modules and merged.","Várias configurações de XML que foram coletados através de módulos e mescladas."
"Layouts","Layouts"
"Layout building instructions.","Instruções de construção de layout."
"Blocks HTML output","Saída de blocos HTML"
"Page blocks HTML.","Blocos de página HTML."
"Collections Data","Coleções de dados"
"Collection data files.","Arquivos de coleção de dados."
"Reflection Data","Reflection Data"
"API interfaces reflection data.","API interfaces reflection data."
"Database DDL operations","Database DDL operations"
"Results of DDL queries, such as describing tables or indexes.","Results of DDL queries, such as describing tables or indexes."
