"Themes","Temas"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Are you sure you want to delete this theme?","Você tem certeza que deseja excluir este tema?"
"Theme: %1","Tema: %1"
"New Theme","Novo tema"
"Theme CSS","Theme CSS"
"Theme CSS Assets","Theme CSS Assets"
"Custom CSS","CSS personalizado"
"Select CSS File to Upload","Select CSS File to Upload"
"Upload CSS File","Upload CSS File"
"Download CSS File","Download CSS File"
"Manage","Gerenciar"
"Upload Images","Carregar Imagens"
"Images Assets","Images Assets"
"Upload Fonts","Carregar fontes"
"Fonts Assets","Fonts Assets"
"Edit custom.css","Editar custom.css"
"Allowed file types *.css.","Permitido os tipos de arquivo *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Max file size to upload %1M"
"Something is wrong with the file upload settings.","Something is wrong with the file upload settings."
"CSS Editor","Editor de CSS"
"Theme Settings","Configurações de tema"
"Parent Theme","Parent Theme"
"Theme Path","Caminho do tema"
"Theme Title","Título do tema"
"Theme Preview Image","Theme Preview Image"
"General","Geral"
"Copy of %1","Cópia de %1"
"Max image size %1M","Max image size %1M"
"Theme JavaScript","Theme JavaScript"
"Select JS Files to Upload","Select JS Files to Upload"
"Upload JS Files","Upload JS Files"
"JS Editor","JS Editor"
"Allowed file types *.js.","Allowed file types *.js."
"Theme","Tema"
"Media Storage","Armazenamento de Mídia"
"Create Folder","Create Folder"
"Delete Folder","Apagar Pasta"
"Delete File","Excluir Arquivo"
"Insert File","Inserir Arquivo"
"New Folder Name:","Nome da Nova Pasta:"
"Are you sure you want to delete this folder?","Tem certeza que deseja excluir esta pasta?"
"Are you sure you want to delete this file?","Tem certeza que deseja excluir este arquivo?"
"Storage Root","Matriz de Armazenamento"
"You deleted the theme.","You deleted the theme."
"We cannot delete the theme.","We cannot delete the theme."
"File not found: ""%1"".","File not found: ""%1""."
"We can't find file.","We can't find file."
"We cannot find theme ""%1"".","We cannot find theme ""%1""."
"We cannot find the theme.","We cannot find the theme."
"This theme is not editable.","This theme is not editable."
"You saved the theme.","You saved the theme."
"We can't upload the CSS file right now.","We can't upload the CSS file right now."
"We cannot find a theme with id ""%1"".","We cannot find a theme with id ""%1""."
"We can't upload the JS file right now.","We can't upload the JS file right now."
"Sorry, something went wrong. That's all we know.","Sorry, something went wrong. That's all we know."
"Invalid type","Invalid type"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"label","rótulo"
"-- Please Select --","-- Selecione uma opção --"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","Copiar"
"Theme id should be set","Theme id should be set"
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"We can't upload the file right now.","Não é possível enviar o arquivo neste momento."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","We cannot find a directory with this name."
"We can't delete root directory %1 right now.","Não é possível excluir o diretório raiz %1 neste momento."
"Theme isn't deletable.","Theme isn't deletable."
"localized exception","localized exception"
"Message","Mensagem"
"Test Label","Test Label"
"Phrase","Phrase"
"testMessage","testMessage"
"exception","exceção"
"We found no files.","We found no files."
"Browse Files","Procurar arquivos"
"Remove","Remover"
"Help Us Keep Magento Healthy","Nos ajude a manter saudável a Magento"
"Report All Bugs","Reportar todos os Bugs"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","You're currently reading page"
"Next","Próximo"
"Show","Mostrar"
"per page","por página"
"About the calendar","Sobre o calendário"
"Close","Fechar"
"Go Today","Hoje"
"WK","WK"
"Time","Tempo"
"Hour","Hora"
"Minute","Minuto"
"We could not detect a size.","Não foi possível detectar o tamanho."
"We don't recognize this file extension.","Nós não reconhecemos essa extensão de arquivo."
"Empty","Vazio"
"1 column","1 coluna"
"HTML Head","Cabeçalho HTML"
"Favicon Icon","Ícone Favicon"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Título padrão"
"Title Prefix","Prefixo do título"
"Title Suffix","Sufixo do título"
"Default Description","Descrição padrão"
"Default Keywords","Palavras-chave padrão"
"Miscellaneous Scripts","Scripts diversos"
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Display Demo Store Notice","Aviso de loja demo"
"Search Engine Robots","Robôs de motor de busca"
"Default Robots","Robôs padrão"
"Edit custom instruction of robots.txt File","Editar instruções personalizadas do arquivo robots.txt"
"Reset to Defaults","Restaurar padrões"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","This action will delete your custom instructions and reset robots.txt file to system's default settings."
"Header","Cabeçalho"
"Logo Image","Imagem do logotipo"
"Logo Image Width","Largura da imagem do logotipo"
"Logo Image Height","Altura da imagem do logotipo"
"Logo Image Alt","Alt da imagem do logotipo"
"Welcome Text","Texto de boas vindas"
"Footer","Rodapé"
"Copyright","Direitos autorais"
"Miscellaneous HTML","HTML Diversos"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Default welcome msg!","Mensagem padrão de boas-vindas!"
"Copyright © 2015 Magento. All rights reserved.","Copyright © Magento 2015. Todos os direitos reservados."
"Admin empty","Admin vazio"
"Admin 1column","Admin 1column"
"Skip to Content","Pular para o conteúdo"
"2 columns with left bar","2 colunas com barra à esquerda"
"2 columns with right bar","2 colunas com barra à direita"
"3 columns","3 colunas"
